"בראשית
",1
אין,10007
אָנהײב,52
האָט,14019
,10813
גאָט,7362
באַשאַפֿן,43
דעם,9171
הימל,329
און,42183
די,15492
ערד,916
איז,9404
געװען,2987
װיסט,53
לײדיק,16
פֿינצטערניש,66
אױפֿן,910
געזיכט,61
פֿון,27080
תּהום,1
דער,9655
גײַסט,152
געשװעבט,2
"װאַסערן.
",3
געזאָגט,3299
זאָל,2862
װערן,1563
ליכט,107
עס,2255
געװאָרן,1357
געזען,476
דאָס,4252
אַז,2242
גוט,171
פֿאַנאַנדערגעשײדט,5
צװישן,1005
גערופֿן,356
טאָג,1200
ער,7660
נאַכט,206
אָװנט,116
פֿרימאָרגן,85
אײן,541
"טאָג.
",53
אַן,1083
אױסשפּרײט,9
מיטן,431
װאַסערן,136
פֿאַנאַנדערשײדן,4
געמאַכט,903
װאָס,8784
אונטער,315
איבער,864
אַזױ,3623
געשען,98
אַ,9113
צװײטן,95
זאָלן,1020
זיך,4721
אײַנזאַמעלן,1
אונטערן,26
אָרט,485
באַװײַזן,11
יבשה,10
אײַנזאַמלונג,81
ימען,26
"גוט.
",3
אַרױסגראָזן,1
גראָז,49
קרײַטעכץ,18
גיט,181
אַרױס,390
זאָמען,179
פֿרוכטבײמער,2
טראָגן,120
פֿרוכט,114
אױף,5690
לױט,636
זײערע,1748
מינים,33
זײער,1730
זײ,8449
אַרױסגעבראַכט,12
זײַנע,2186
בײמער,47
דריטן,68
ליכטער,5
פֿאַנאַנדערצושײדן,2
זײַן,7536
פֿאַר,4978
צײכנס,40
צײַטן,29
טעג,724
יאָרן,77
צו,11292
לײַכטן,13
צװײ,647
גרױסע,191
גרעסערע,13
געװעלטיקונג,8
קלענערע,4
שטערן,45
אַרײַנגעזעצט,21
געװעלטיקן,47
פֿירטן,35
װאַסער,381
װידמענען,4
װידמענונג,6
לעבעדיקע,47
באַשעפֿענישן,7
פֿױגלען,43
פֿליען,6
איבערן,101
פֿרײַען,17
ים-חיות,2
אַלע,2338
קריכן,7
געװידמענט,2
געפֿליגלטע,10
געבענטשט,102
זאָגן,1433
פֿרוכפּערט,5
אײַך,1470
מערט,26
פֿילט,10
אָן,1152
מערן,84
פֿינפֿטן,27
אַרױסברענגען,12
בהמות,88
שרצים,11
חיות,57
לאָמיר,150
מאַכן,772
מענטשן,658
אונדזער,441
געשטאַלט,77
גלײַכעניש,4
פֿיש,18
ים,210
גאַנצער,206
אים,4475
זכר,10
נקבֿה,8
"באַשאַפֿן.
",4
באַצװינגט,3
זי,1513
געװעלטיקט,41
אַלעם,42
לעבעדיקן,34
קריכט,10
"ערד.
",44
זעט,136
איך,6410
האָב,2055
געגעבן,583
יעטװעדער,295
בױם,80
דאָ,224
בײמערפֿרוכט,1
צום,1219
עסן,404
אַלץ,482
לעבעדיקער,25
אָטעם,53
גרין,3
"געװען.
",12
ערשט,296
זעקסטן,17
זײַנען,3516
פֿאַרענדיקט,14
חיל,204
געענדיקט,75
זיבעטן,89
אַרבעט,182
גערוט,81
געהײליקט,60
װאָרום,2337
באַשאַפֿנדיק,1
"געמאַכט.
",5
געשיכטע,5
װען,590
האַר,540
"הימל.
",7
קײן,1525
בײמל,3
פֿעלד,285
נאָך,1014
ניט,6341
געשפּראָצט,4
רעגענען,17
מענטש,275
באַאַרבעטן,8
נאָר,429
נעבל,14
פֿלעגט,165
אױפֿגײן,20
אָנטרינקען,12
גאַנצע,521
געפֿורעמט,16
שטױב,83
אַרײַנגעבלאָזן,1
נאָזלעכער,4
לעבן,545
נפֿש,64
געפֿלאַנצט,19
גאָרטן,32
עֵדֶן,7
מזרח,119
דאָרטן,609
שפּראָצן,27
אַלערלײ,64
גלוסטיק,3
אָנצוקוקן,8
אױך,650
װיסן,337
גוטס,161
"שלעכטס.
",7
טײַך,198
אַרױסגעגאַנגען,263
אָנצוטרינקען,5
צעשײדט,7
פֿיר,273
טײלן,15
נאָמען,715
אײנעם,197
פּישון,1
רינגלט,7
אַרום,418
לאַנד,1536
חַוִילָה,3
גאָלד,270
יענעם,285
בדוֹלַח,1
אָניקלשטײן,1
גיחוֹן,1
כּוש,10
חִדֶקל,1
גײט,383
אַשור,34
פֿירטער,17
"פּרָת.
",1
גענומען,385
באַאַרבעטען,1
היטן,205
אָנגעזאָגט,126
מעגסטו,12
אָבער,1155
שלעכטס,101
זאָלסטו,635
דו,1802
עסט,64
װעסטו,299
זיכער,29
"שטאַרבן.
",18
אַלײן,161
װעל,2266
געהילף,2
װעדליק,16
געבראַכט,310
זען,242
װעט,4605
רופֿן,117
איטלעך,44
באַשעפֿעניש,9
איר,3729
אָנגערופֿן,12
נעמען,368
אָָדָמען,5
געפֿונען,214
געלאָזט,125
פֿאַלן,125
טיפֿן,3
שלאָף,27
אײַנגעשלאָפֿן,6
אַרױסגענומען,27
אײנע,41
ריפּן,2
פֿאַרשטאָפּט,17
מיט,4708
פֿלײש,147
געבױט,154
ריפּ,1
פֿרױ,200
מאָל,284
בײן,16
מײַנע,918
בײנער,70
מײַן,3192
דאָזיקע,794
װײַל,583
מאַן,853
דרום,440
