Yiddish	Gloss
־דיק	ADJ
־נ	NOUN.PL
אחשװרושס	N
אחשװרושן	N.DAT
עקיבֿאן	N.DAT
עקיבֿאס	N
אַלכּסנדרן	N.DAT
אַלכּסנדרס	N
עליכמען	N.DAT
עליכמס	N
עמוסן	N.DAT
עמוסס	N
אַהרנען	N.DAT
אַהרנס	N
אַריהס	N
אַריהן	N.DAT
אַבֿרהמלס	N
אַבֿרהמלען	N.DAT
אַבֿרהמען	N.DAT
אַבֿרהמס	N
אַבֿרהמען	N.DAT
אַבֿרהמס	N
אַבֿרהמטשעס	N
אַבֿרהמטשען	N.DAT
אַבֿרהמטשעלען	N.DAT
אַבֿרהמטשעלעס	N
בתשבֿעס	N
בתשבֿען	N.DAT
בתיהן	N.DAT
בתיהס	N
בצלאלן	N.DAT
בצלאלס	N
ברוכן	N.DAT
ברוכס	N
בועזן	N.DAT
בועזס	N
ברוכהן	N.DAT
ברוכהס	N
D	NOUN
דנען	N.DAT
דנס	N
דניאלס	N
דניאלן	N.DAT
דינהן	N.DAT
דינהס	N
דובֿס	N
דובֿן	N.DAT
דבֿן	N.DAT
דבֿס	N
דודן	N.DAT
דודס	N
דבֿורהס	N
דבֿורהן	N.DAT
דבֿורהקען	N.DAT
דבֿורהקעס	N
אפֿרימס	N
אפֿרימען	N.DAT
אפֿרימען	N.DAT
אפֿרימס	N
אליס	N
אליען	N.DAT
ײלימלכן	N.DAT
ײלימלכס	N
אליעזרס	N
אליעזרן	N.DAT
אסתּרן	N.DAT
אסתּרס	N
אסתּרלס	N
אסתּרלן	N.DAT
אליען	N.DAT
אליס	N
עשׂון	N.DAT
עשׂוס	N
עזרס	N
עזרן	N.DAT
עזראַס	N
עזראַן	N.DAT
גבֿריאלס	N
גבֿריאלן	N.DAT
גדליהן	N.DAT
גדליהס	N
גרשונען	N.DAT
גרשונס	N
ח	NOUN
הדסהס	N
הדסהן	N.DAT
הנכס	N
הנכן	N.DAT
הללס	N
הללן	N.DAT
אײַטען	N.DAT
אײַטעס	N
איובֿס	N
איובֿן	N.DAT
קלמנס	N
קלמנען	N.DAT
כּתריאלס	N
כּתריאל	NOUN.MASC
כּתריאלן	N.DAT
חנהן	N.DAT
חנהס	N
חנהלען	N.DAT
חנהלעס	N
חוהס	N
חוהן	N.DAT
חיהס	N
חיהן	N.DAT
חײמס	N
חײמען	N.DAT
חײם־יאַנקל	NOUN.MASC
כּהײַעם_Yאַנקלס	NOUN.MASC.PL
חיהלעס	N
חיהלען	N.DAT
חפֿצן	N.DAT
חפֿצס	N
כּהנען	N.DAT
כּהנס	N
לויען	N.DAT
לויס	N
לאהס	N
לאהן	N.DAT
לבֿנען	N.DAT
לבֿנס	N
מלכּהן	N.DAT
מלכּהס	N
מתּתיהוען	N.DAT
מתּתיהוס	N
םאַטיעס	N
םאַטיען	N.DAT
מיכאלען	N.DAT
מיכאלס	N
מנחמס	N
מנחמען	N.DAT
מנשהס	N
מנשהן	N.DAT
מאירעלע	NOUN.DIM.SG
מאירלעך	NOUN.DIM.PL
מאירן	N.DAT
מאירל	NOUN.DIM.SG
מאירס	N
מאירעלעך	NOUN.DIM.PL
מלכס	N
מלכן	N.DAT
מיכאלען	N.DAT
מיכאלס	N
מיכאלס	N
מיכאלן	N.DAT
מרימען	N.DAT
מרימס	N
מרדכיס	N
מרדכין	N.DAT
משהן	N.DAT
משהס	N
משהלען	N.DAT
משהלעס	N
נפֿתּליס	N
נפֿתּליען	N.DAT
