א[רעדאַקטירן | רעדאקטירן קוואַלטעקסט],,
,,
לשון־קודש,אויסרייד,בײַשפּילן אין ייִדישער ליטעראַטור
א (אויך די צאָל 1),א (אָדער אַמאָל אַ\אָ\וּ\יִ\יי\ײַ\ע),
אב,אָוו,
אבות,אָוועס,
אב־בית־דין,אַוו־בעז־דן,
אבות־אבותינו,אָוועס־אַוואָסיינו,
אבי־יתומים,אַווי־יעסוימים,
אבינו מלכנו,אָווינו מאַלקיינו,
אבידה (אָדער אַמאָל אבדה),אַוויידע,
אבידות (אָדער אַמאָל אבדות),אַוויידעס,
אביון,עוויען,
אביונים,עוויונעם‏[2],
,(אָדער אַמאָל עוויוינים‏[3],
אביונות,עוויוינעס,
אבילות (אָדער אַמאָל אבלות),אַוויילעס,
אביר־לב,אַביר־לעוו,
אבירי־לב,אַבירע־לעוו,
אבירות־לב,אַבירעס־לעוו,
אבל,אָוול,
אבלים,אַוויילים,
אבלה,אַוויילע,
אבלות,אַוויילעס,
אבן,עיווען,
אבנים,אַוואָהנים,
אבן־בוחן,עיווען־בויכן,
אבן־טוב,עיווען־טאָוו,
אבנים־טובות,אַוואָהנים־טויוועס,
אבן־נגף,עיווען־נעיגעף,
אבנט,אַוונעט,
אבנטים,אַוונייטים,
אבר,אייווער,
אברים,אייווערעם‏[2],
,(אָדער אַמאָל אייוורים‏[3]),
אבר־מן־החי,אייווער־מין־אַכײַ,
אברהם,אַווראָם,
אברהם אבינו,אַווראָהאָם אָוויני,
אגב,אַגאַוו‏[2],
,אָדער אַמאָל אַגעוו‏[3],
אגב־אורחא,אַגעוו־אורכע,
אגדה,אַגאָדע,
אגדות,אַגאָדעס,
אגדתא,אַגאַדעטע,
אגדתות,אַגאַדעטעס,
אגודה,אַגודע,
אגודות,אַגודעס,
אגודת־ישראל,אַגודעס־ייִסראָעל,
אגיל־ואשמח,אָגל־וועעסמאַך,
אדום,עדעם (אָדער אַמאָל אָדעם),
אדומים,אַדומים,
