Yiddish	UPOS
־דיק	ADJ
־דיקע	ADJ
־דיקער	ADJ
־דיקן	ADJ
־דיקס	ADJ
־נ	NOUN
אחשװרושס	PROPN
אחשװרושן	PROPN
עקיבֿאן	PROPN
עקיבֿאס	PROPN
אַלכּסנדרן	PROPN
אַלכּסנדרס	PROPN
עליכמען	PROPN
עליכמס	PROPN
עמוסן	PROPN
עמוסס	PROPN
אַהרנען	PROPN
אַהרנס	PROPN
אַריהס	PROPN
אַריהן	PROPN
אַבֿרהמלס	PROPN
אַבֿרהמלען	PROPN
אַבֿרהמען	PROPN
אַבֿרהמס	PROPN
אַבֿרהמען	PROPN
אַבֿרהמס	PROPN
אַבֿרהמטשעס	PROPN
אַבֿרהמטשען	PROPN
אַבֿרהמטשעלען	PROPN
אַבֿרהמטשעלעס	PROPN
בתשבֿעס	PROPN
בתשבֿען	PROPN
בתיהן	PROPN
בתיהס	PROPN
בצלאלן	PROPN
בצלאלס	PROPN
בנימינס	PROPN
בנימינען	PROPN
ברוכן	PROPN
ברוכס	PROPN
בועזן	PROPN
בועזס	PROPN
ברוכהן	PROPN
ברוכהס	PROPN
D	NOUN
דנען	PROPN
דנס	PROPN
דניאלס	PROPN
דניאלן	PROPN
דינהן	PROPN
דינהס	PROPN
דובֿס	PROPN
דובֿן	PROPN
דבֿן	PROPN
דבֿס	PROPN
דודן	PROPN
דודס	PROPN
דבֿורהס	PROPN
דבֿורהן	PROPN
דבֿורהקען	PROPN
דבֿורהקעס	PROPN
אפֿרימס	PROPN
אפֿרימען	PROPN
אפֿרימען	PROPN
אפֿרימס	PROPN
אליס	PROPN
אליען	PROPN
ײלימלכן	PROPN
ײלימלכס	PROPN
אליהון	PROPN
אליהוס	PROPN
אליעזרס	PROPN
אליעזרן	PROPN
אסתּרן	PROPN
אסתּרס	PROPN
אסתּרלס	PROPN
אסתּרלן	PROPN
אליען	PROPN
אליס	PROPN
עשׂון	PROPN
עשׂוס	PROPN
עזרס	PROPN
עזרן	PROPN
עזראַס	PROPN
עזראַן	PROPN
גבֿריאלס	PROPN
גבֿריאלן	PROPN
גדליהן	PROPN
גדליהס	PROPN
גרשונען	PROPN
גרשונס	PROPN
ח	NOUN
הדסהס	PROPN
הדסהן	PROPN
הנכס	PROPN
הנכן	PROPN
הללס	PROPN
הללן	PROPN
אײַטען	PROPN
אײַטעס	PROPN
איובֿס	PROPN
איובֿן	PROPN
קלמנס	PROPN
קלמנען	PROPN
כּתריאלס	PROPN
כּתריאל	NOUN
כּתריאלן	PROPN
חנהן	PROPN
חנהס	PROPN
חנהלען	PROPN
חנהלעס	PROPN
חוהס	PROPN
חוהן	PROPN
חיהס	PROPN
חיהן	PROPN
חײמס	PROPN
חײמען	PROPN
חײם־יאַנקל	NOUN
כּהײַעם_Yאַנקלס	NOUN
חיהלעס	PROPN
חיהלען	PROPN
חפֿצן	PROPN
חפֿצס	PROPN
כּהנען	PROPN
כּהנס	PROPN
לויען	PROPN
לויס	PROPN
לאהס	PROPN
לאהן	PROPN
לבֿנען	PROPN
לבֿנס	PROPN
מלכּהן	PROPN
מלכּהס	PROPN
מתּתיהוען	PROPN
מתּתיהוס	PROPN
םאַטיעס	PROPN
םאַטיען	PROPN
מיכאלען	PROPN
מיכאלס	PROPN
מנחמס	PROPN
מנחמען	PROPN
מנשהס	PROPN
מנשהן	PROPN
מאירעלע	NOUN
מאירלעך	NOUN
מאירן	PROPN
מאירל	NOUN
מאירס	PROPN
מאירעלעך	NOUN
מלכס	PROPN
מלכן	PROPN
מיכאלען	PROPN
מיכאלס	PROPN
מיכאלס	PROPN
מיכאלן	PROPN
מרימען	PROPN
מרימס	PROPN
מרדכיס	PROPN
מרדכין	PROPN
משהן	PROPN
משהס	PROPN
משהלען	PROPN
משהלעס	PROPN
נפֿתּליס	PROPN
נפֿתּליען	PROPN
נפֿתּלינען	PROPN
נפֿתּלינס	PROPN
נפֿתּלציס	PROPN
נפֿתּלציען	PROPN
נחמנס	PROPN
נחמנען	PROPN
נעחען	PROPN
נעחעס	PROPN
נחמיהס	PROPN
נחמיהן	PROPN
נחומען	PROPN
נחומס	PROPN
נחומלען	PROPN
נחומלס	PROPN
נתנס	PROPN
נתנען	PROPN
נטען	PROPN
נטעס	PROPN
נחס	PROPN
נחן	PROPN
נעמיען	PROPN
נעמיס	PROPN
אדמען	PROPN
אדמס	PROPN
אוגן	PROPN
אוגס	PROPN
אָשרן	PROPN
אָשרס	PROPN
אָשרלס	PROPN
אָשרלן	PROPN
פּרעהס	PROPN
פּרעהן	PROPN
פּנינהן	PROPN
פּנינהס	PROPN
פּרצן	PROPN
פּרצס	PROPN
פּינחסס	PROPN
פּינחסן	PROPN
רש″יס	PROPN
רש″יען	PROPN
רפֿאלן	PROPN
רפֿאלס	PROPN
רבֿקהן	PROPN
רבֿקהס	PROPN
רחלס	PROPN
רחלעס	PROPN
רחלען	PROPN
רותן	PROPN
רותס	PROPN
ראובֿנען	PROPN
ראובֿנס	PROPN
סמאלן	PROPN
סמאלס	PROPN
סמאל	NOUN
שבֿאָס	PROPN
שבֿאָן	PROPN
שמעונען	PROPN
שמעונס	PROPN
שלמהס	PROPN
שלמהן	PROPN
שמואל	NOUN
שמואלס	PROPN
שמואלן	PROPN
שמואלן	PROPN
שמואלס	PROPN
שמוליקן	PROPN
שמוליקס	PROPN
שניאורן	PROPN
שניאורס	PROPN
שלומס	PROPN
שלומען	PROPN
שולמיתן	PROPN
שולמיתס	PROPN
שׂמחהן	PROPN
שׂמחהס	PROPN
שׂרהס	PROPN
שׂרהן	PROPN
שׂרהלען	PROPN
שׂרהלעס	PROPN
שׂרהשיס	PROPN
שׂרהשיִען	PROPN
שׂטנס	PROPN
שׂטנען	PROPN
תּבֿיהס	PROPN
תּבֿיהן	PROPN
צדוקן	PROPN
צדוקס	PROPN
צבֿיס	PROPN
צבֿיען	PROPN
אוריען	PROPN
אוריס	PROPN
אוריאלס	PROPN
אוריאלן	PROPN
יעקבֿן	PROPN
יעקבֿס	PROPN
יהואַשס	PROPN
יהואַשן	PROPN
יהושען	PROPN
יהושעס	PROPN
יהודהס	PROPN
יהודהן	PROPN
יוחבֿדן	PROPN
יוחבֿדס	PROPN
יחזקאלס	PROPN
יחזקאלען	PROPN
יחיאלס	PROPN
יחיאלן	PROPN
ישיעהון	PROPN
ישיעהוס	PROPN
ישוס	PROPN
יהושעס	PROPN
יהושען	PROPN
ירמיהוען	PROPN
ירמיהוס	PROPN
ישמעאלס	PROPN
ישמעאלן	PROPN
ישׂראלס	PROPN
ישׂראלן	PROPN
ישׂראליקס	PROPN
ישׂראליקן	PROPN
יצחקס	PROPN
יצחקן	PROPN
יוחננען	PROPN
יוחננס	PROPN
יואלן	PROPN
יואלס	PROPN
יואליקס	PROPN
יואליקן	PROPN
יונהן	PROPN
יונהס	PROPN
יונתנס	PROPN
יונתנען	PROPN
יוספֿן	PROPN
יוספֿס	PROPN
יהודיתס	PROPN
יהודיתן	PROPN
היודיתלען	PROPN
היודיתלס	PROPN
זלמנען	PROPN
זלמנס	PROPN
זכריהן	PROPN
זכריהס	PROPN
זרחן	PROPN
זרחס	PROPN
זרחלס	PROPN
זרחלען	PROPN
זעבֿס	PROPN
זעבֿן	PROPN
זרשס	PROPN
זרשן	PROPN
אַען	NOUN
אַן	ADP
עברינים	NOUN
עבריון	NOUN
אַבאַזשורעלעך	NOUN
אַבאַזשורלעך	NOUN
אַבאַזשורעלע	NOUN
אַבאַזשור	NOUN
אַבאַזשורל	NOUN
אַבי	CONJ
אַבאָנאַמענט	NOUN
אַבאָנאַמענטן	NOUN
אַבאָנעמענטן	NOUN
אַבאָנעמענט	NOUN
אַבאָנענטן	NOUN
אַבאָנענט	NOUN
אַבאָנירנדיקן	ADJ
אַבאָנירסט	VERB
אַבאָניר	NOUN
אַבאָנירנדיקס	ADJ
אַבאָנירנדיקע	ADJ
אַבאָנירסטו	VERB
אַבאָנירנדיקער	ADJ
אַבאָרטן	NOUN
אַבאָרט	NOUN
אַבראַמטשיקן	PROPN
אַבראַמטשיקס	PROPN
אַבראַשעס	PROPN
אַבראַשען	PROPN
אַבסאָלוטס	ADJ
אַבסאָלוטע	ADJ
אַבסאָלוטער	ADJ
אַבסאָלוטן	ADJ
אַבסאָלוט	ADJ
אַבסטראַקטס	ADJ
אַבסטראַקטע	ADJ
אַבסטראַקטער	ADJ
אַבסטראַקטן	ADJ
אַבסטראַקציע	NOUN
אַבסטראַקציעס	NOUN
אַבסורדער	ADJ
אַבסורדס	ADJ
אַבסורדע	ADJ
עד	ADP
אַדאַדזשיאָ	ADV
אַדאַפּטאַציע	NOUN
אַדאַפּטאַציעס	NOUN
אַדאַפּטירנדיקס	ADJ
אַדאַפּטירנדיקן	ADJ
אַדאַפּטירנדיקע	ADJ
אַדאַפּטירסטו	VERB
אַדאַפּטירסט	VERB
אַדאַפּטירנדיקער	ADJ
אַדאַפּטירער	NOUN
אַדאַפּטירערס	NOUN
אַדר	NOUN
אַדעקװאַט	NOUN
אַדעקװאַטן	NOUN
אַדערױפֿן	NOUN
אַדערױף	NOUN
אַדעסער	NOUN
אַדיר	NOUN
אַדירים	NOUN
אַדיציע	NOUN
אַדליקער	ADJ
אַדל	NOUN
אַדליקע	ADJ
אַדליק	ADJ
אַדליקס	ADJ
אַדליקן	ADJ
אַדללײַטן	NOUN
אַדלמאַן	NOUN
אַדללײַט	NOUN
אַדמיניסטירנדיקס	ADJ
אַדמיניסטירסטו	VERB
אַדמיניסטירנדיקער	ADJ
אַדמיניסטירסט	VERB
אַדמיניסטירנדיקע	ADJ
אַדמיניסטירנדיקן	ADJ
אַדמיניסטראַטיװן	ADJ
אַדמיניסטראַטיװס	ADJ
אַדמיניסטראַטיװע	ADJ
אַדמיניסטראַטיװער	ADJ
אַדמיניסטראַטיװ	ADJ
אַדמיניסטראַטאָרן	NOUN
אַדמיניסטראַטאָר	NOUN
אַדמיניסטראַציעס	NOUN
אַדמיניסטראַציע	NOUN
אַדמיראַל	NOUN
אַדמיראַלן	NOUN
אַדמיראַלשע	NOUN
אַדמיראַלשעס	NOUN
אַדאָפּטירנדיקן	ADJ
אַדאָפּטירנדיקס	ADJ
אַדאָפּטירסט	VERB
אַדאָפּטירנדיקע	ADJ
אַדאָפּטירסטו	VERB
אַדאָפּטירנדיקער	ADJ
אַדון	NOUN
אַדױניסן	NOUN
אַדונית	NOUN
אַדרענאַלס	ADJ
אַדרענאַלער	ADJ
אַדרענאַל	ADJ
אַדרענאַלע	ADJ
אַדרענאַלן	ADJ
אַדרענאַלין	NOUN
אַדרעסן	NOUN
אַדרעס	NOUN
אַדרעסירנדיקן	ADJ
אַדרעסירנדיקע	ADJ
אַדרעסירנדיקס	ADJ
אַדרעסירנדיקער	ADJ
אַדרעסירסטו	VERB
אַדרעסירסט	VERB
אַדורך	ADV
אַדורכן	ADP
אַדורכעט	ADV
אַדװענטיסטן	NOUN
אַדװענטיסט	NOUN
אַדװערב	NOUN
אַדװערבן	NOUN
אַדװאָקאַטן	NOUN
אַדװאָקאַט	NOUN
אַדװאָקאַטקע	NOUN
אַדװאָקאַטקעס	NOUN
אַדיעקטיװ	NOUN
אַדיעקטיװן	NOUN
אַדיוטאַנט	NOUN
אַדיוטאַנטן	NOUN
אַעראָדינאַמיק	NOUN
אַעראָדראָם	NOUN
אַעראָדראָמען	NOUN
אַעראָפּלאַן	NOUN
אַעראָפּלאַנען	NOUN
אַעראָפּאָרט	NOUN
אַעראָפּאָרטן	NOUN
אַפֿן	ADP
אױפֿדערנאַכט	ADV
אַפֿער	ADV
אַפֿערע	NOUN
אַפֿערעס	NOUN
אַפֿידן	NOUN
אַפֿיד	NOUN
אַפֿיקומן	NOUN
אַפֿיקומנס	NOUN
אַפֿיקס	NOUN
אַפֿיקסן	NOUN
אַפֿיליִיִרנדיקער	ADJ
אַפֿיליִיִרסטו	VERB
אַפֿיליִיִרנדיקן	ADJ
אַפֿיליִיִרסט	VERB
אַפֿיליִיִרנדיקס	ADJ
אַפֿיליִיִרנדיקע	ADJ
אַפֿיר	NOUN
אַפֿירן	NOUN
אַפֿישן	NOUN
אַפֿיש	NOUN
אַפֿאָרן	NOUN
אַפֿאָר	NOUN
אַפֿריקאַנער	NOUN
אַפֿריקאַנערין	NOUN
אַפֿריקאַנערינס	NOUN
אַפֿריקאַנישער	ADJ
אַפֿריקאַנישע	ADJ
אַפֿריקאַנישן	ADJ
אַפֿריקאַנישעס	ADJ
אַפֿריקאַנס	NOUN
אַפֿריקע	NOUN
אַגדתּות	NOUN
אַגענט	NOUN
אַגענטן	NOUN
אַגענץ	NOUN
אַגענצן	NOUN
אַגענציע	NOUN
אַגענציעס	NOUN
אַגענטור	NOUN
אַגענטורן	NOUN
אַגיטאַטאָרס	NOUN
אַגיטאַטאָר	NOUN
אַגיטאַציעס	NOUN
אַגיטאַציע	NOUN
אַגנאָסטיקער	NOUN
אַגנאָסטיקערס	NOUN
אַגדות	NOUN
עגלות	NOUN
עגלה	NOUN
אַגראַפֿקעס	NOUN
אַגראַפֿקע	NOUN
אַגרעסן	NOUN
אַגרעס	NOUN
אַגרעסיװן	ADJ
אַגרעסיװער	ADJ
אַגרעסיװס	ADJ
אַגרעסיװע	ADJ
אַגרעסיװקײט	NOUN
אַגרעסיװקײטן	NOUN
אַגרעסאָרן	NOUN
אַגרעסאָר	NOUN
אַגרעסיע	NOUN
אַגרעסיעס	NOUN
אַגריקולטור	NOUN
אַגראָנאָמען	NOUN
אַגראָנאָם	NOUN
עגונה	NOUN
עגונות	NOUN
אַהבֿת	NOUN
אַהבֿה	NOUN
אַהער	ADV
אַהערצו	ADV
אַהערצוצו	ADV
אַהײם	ADV
אַהײמעט	ADV
אַהײמװאַרגן	NOUN
אַהײמװאַרג	NOUN
אַהין	ADV
אַהינגאַסן	NOUN
אַהינגאַס	NOUN
אַהינטער	ADV
אַהינצו	ADV
אַהינצוצו	ADV
אַיִר	NOUN
אַקאַדעמיקערס	NOUN
אַקאַדעמיקער	NOUN
