dedupe	devocalize	split 1	split 2	split 3	split4	IsWord
א' אויוואראש	א' אויוואראש	א'	אויוואראש			
א' אירשא	א' אירשא	א'	אירשא			
א' אפשא	א' אפשא	א'	אפשא			
א' האדנא	א' האדנא	א'	האדנא			
א' וו	א' וו	א'	וו			
א' וואלקוי	א' וואלקוי	א'	וואלקוי			
א' ווישא	א' ווישא	א'	ווישא			
א' ווישווע	א' ווישווע	א'	ווישווע			
א' ווישע	א' ווישע	א'	ווישע			
א' זשוק	א' זשוק	א'	זשוק			
א' מעדיעש	א' מעדיעש	א'	מעדיעש			
א' סאנטוי	א' סאנטוי	א'	סאנטוי			
א' סאנטעוו	א' סאנטעוו	א'	סאנטעוו			
"א""ד"	"א""ד"	"א""ד"				YES
"א""י"	"א""י"	"א""י"				YES
"א""מ"	"א""מ"	"א""מ"				
"א""ש"	"א""ש"	"א""ש"				YES
אָ־דעגעש	אָ־דעגעש	אָ־דעגעש				
אָ־װערבאַס	אָ־װערבאַס	אָ־װערבאַס				
אָ־פּאַליע	אָ־פּאַליע	אָ־פּאַליע				
אאוגסבורג	אאוגסבורג	אאוגסבורג				
אָבאָד	אָבאָד	אָבאָד				
אבאדאי	אבאדאי	אבאדאי				
אבאדסאלאק	אבאדסאלאק	אבאדסאלאק				
אָבאַדסאָלאָק	אָבאַדסאָלאָק	אָבאַדסאָלאָק				
אבאזיא	אבאזיא	אבאזיא				
אבאיטארנא	אבאיטארנא	אבאיטארנא				
אַבאַיטאָרנא	אַבאַיטאָרנא	אַבאַיטאָרנא				
אבאיסינאי	אבאיסינאי	אבאיסינאי				
אבאכאוו	אבאכאוו	אבאכאוו				
אַבאָליץ 	אַבאָליץ 	אַבאָליץ				
אבאלניק	אבאלניק	אבאלניק				
אבאנא	אבאנא	אבאנא				
אבאני	אבאני	אבאני				
אָבאָני	אָבאָני	אָבאָני				
אבאניע	אבאניע	אבאניע				
אָבאַניע	אָבאַניע	אָבאַניע				
אבאפאלא	אבאפאלא	אבאפאלא				
אבאפֿאָלאָ	אבאפֿאָלאָ	אבאפֿאָלאָ				
אבאפאלווא	אבאפאלווא	אבאפאלווא				
אבאפאָלװאָ	אבאפאָלװאָ	אבאפאָלװאָ				
אבאציע	אבאציע	אבאציע				
אבאציִע	אבאציִע	אבאציִע				
אבאציע ?	אבאציע ?	אבאציע	?			
אבארא	אבארא	אבארא				
אָבאָראַ	אָבאָראַ	אָבאָראַ				
אבארטין	אבארטין	אבארטין				
אבארניק	אבארניק	אבארניק				
אָבאָרניק	אָבאָרניק	אָבאָרניק				
אבאשפאלא	אבאשפאלא	אבאשפאלא				
אָבאָשפֿאָלאָ	אָבאָשפֿאָלאָ	אָבאָשפֿאָלאָ				
אבויאר קאמיטאט	אבויאר קאמיטאט	אבויאר	קאמיטאט			
אבויסאניטויא	אבויסאניטויא	אבויסאניטויא				
אָבוכאָװיטש 	אָבוכאָװיטש 	אָבוכאָװיטש				
אבוכעוו	אבוכעוו	אבוכעוו				
אָבוכעװ 	אָבוכעװ 	אָבוכעװ				
אבוקיר	אבוקיר	אבוקיר				
אבזשיצק	אבזשיצק	אבזשיצק				
אָבזשיצק	אָבזשיצק	אָבזשיצק				
אביוריע	אביוריע	אביוריע				
אביוריִע	אביוריִע	אביוריִע				
אביװא	אביװא	אביװא				
אבילונה	אבילונה	אבילונה				
אַבילינע	אַבילינע	אַבילינע				
אביניון	אביניון	אביניון				
אבלוי	אבלוי	אבלוי				
אבליט דסינקא	אבליט דסינקא	אבליט	דסינקא			
אבליט דסינקאה	אבליט דסינקאה	אבליט	דסינקאה			
אָבעדיװקע 	אָבעדיװקע 	אָבעדיװקע				
אבעל	אבעל	אבעל				
אַבעל	אַבעל	אַבעל				
אַבעל	אַבעל	אַבעל				
אַבעל 	אַבעל 	אַבעל				
אבעראוילא	אבעראוילא	אבעראוילא				
אָבעראיולאַ	אָבעראיולאַ	אָבעראיולאַ				
אבעראלטערטהיים	אבעראלטערטהיים	אבעראלטערטהיים				
אָבעראַלטערטהיים	אָבעראַלטערטהיים	אָבעראַלטערטהיים				
אבערבאיד	אבערבאיד	אבערבאיד				
אבערגאיד	אבערגאיד	אבערגאיד				
אָבערגברײט	אָבערגברײט	אָבערגברײט				
אָבערגדאָרף	אָבערגדאָרף	אָבערגדאָרף				
אבערדארעף	אבערדארעף	אבערדארעף				
אבערדארף	אבערדארף	אבערדארף				
אָבערדאָרף	אָבערדאָרף	אָבערדאָרף				
אבערדער	אבערדער	אבערדער				
אבערהאגענטאל	אבערהאגענטאל	אבערהאגענטאל				
אָבערהאַגענטאַל	אָבערהאַגענטאַל	אָבערהאַגענטאַל				
אבערהאלאברון	אבערהאלאברון	אבערהאלאברון				
אָבערהאָלאַברון	אָבערהאָלאַברון	אָבערהאָלאַברון				
אבערהאם	אבערהאם	אבערהאם				
