sent.no	1	s	_	_2	_3	_4	_5	_6	_7	_8	ratio
1											0.82
1	3	די	_	DET	_	_	_	_	_	_	0.82
1	4	זכרונות	_	NOUN	_	_	_	_	_	_	0.82
1	5	זאָלן	_	AUX	_	_	_	_	_	_	0.82
1	6	דאָם	_	_	_	_	_	_	_	_	0.82
1	7	זיין	_	_	_	_	_	_	_	_	0.82
1	8	אַ	_	DET	_	_	_	_	_	_	0.82
1	9	שטיקל	_	NOUN	_	_	_	_	_	_	0.82
1	10	טרייסט	_	_	_	_	_	_	_	_	0.82
1	11	פאַר	_	_	_	_	_	_	_	_	0.82
1	12	אים	_	PRON	_	_	_	_	_	_	0.82
1	13	אין	_	ADP	_	_	_	_	_	_	0.82
1	14	דער	_	DET	_	_	_	_	_	_	0.82
1	15	עלנט	_	NOUN	_	_	_	_	_	_	0.82
1	16	און	_	CCONJ	_	_	_	_	_	_	0.82
1	17	אַ	_	DET	_	_	_	_	_	_	0.82
1	18	זכר	_	NOUN	_	_	_	_	_	_	0.82
1	19	פון	_	ADP	_	_	_	_	_	_	0.82
1	20	אים	_	PRON	_	_	_	_	_	_	0.82
1	21	אין	_	ADP	_	_	_	_	_	_	0.82
1	22	דער	_	DET	_	_	_	_	_	_	0.82
1	23	משפּחה	_	NOUN	_	_	_	_	_	_	0.82
1	24	.	_	PUNCT	_	_	_	_	_	_	0.82
24											0.55
24	26	דאָס	_	DET	_	_	_	_	_	_	0.55
24	27	גיט	_	VERB	_	_	_	_	_	_	0.55
24	28	צו	_	ADP	_	_	_	_	_	_	0.55
24	29	דער	_	DET	_	_	_	_	_	_	0.55
24	30	אַווטאָבּיאָגראַפיע	_	_	_	_	_	_	_	_	0.55
24	31	אַ	_	DET	_	_	_	_	_	_	0.55
24	32	בּאַזונדער	_	_	_	_	_	_	_	_	0.55
24	33	חן	_	NOUN	_	_	_	_	_	_	0.55
24	34	פון	_	ADP	_	_	_	_	_	_	0.55
24	35	אַ	_	DET	_	_	_	_	_	_	0.55
24	36	משיח	_	NOUN	_	_	_	_	_	_	0.55
24	37	לפי	_	_	_	_	_	_	_	_	0.55
24	38	תּומו	_	_	_	_	_	_	_	_	0.55
24	39	,	_	PUNCT	_	_	_	_	_	_	0.55
24	40	פון	_	ADP	_	_	_	_	_	_	0.55
24	41	אויפריכטיגקייט	_	_	_	_	_	_	_	_	0.55
24	42	און	_	CCONJ	_	_	_	_	_	_	0.55
24	43	שטילן	_	_	_	_	_	_	_	_	0.55
24	44	ערנסט	_	ADJ	_	_	_	_	_	_	0.55
24	45	בּאַ	_	_	_	_	_	_	_	_	0.55
24	46	אַ	_	DET	_	_	_	_	_	_	0.55
24	47	מענשן	_	_	_	_	_	_	_	_	0.55
24	48	,	_	PUNCT	_	_	_	_	_	_	0.55
24	49	וואָס	_	X	_	_	_	_	_	_	0.55
24	50	שטייט	_	_	_	_	_	_	_	_	0.55
24	51	פאַר	_	_	_	_	_	_	_	_	0.55
24	52	זיין	_	_	_	_	_	_	_	_	0.55
24	53	אייגן	_	_	_	_	_	_	_	_	0.55
24	54	געוויסן	_	_	_	_	_	_	_	_	0.55
24	55	און	_	CCONJ	_	_	_	_	_	_	0.55
24	56	דערציילט	_	_	_	_	_	_	_	_	0.55
24	57	איבּער	_	_	_	_	_	_	_	_	0.55
24	58	זיין	_	_	_	_	_	_	_	_	0.55
24	59	לעבּן	_	_	_	_	_	_	_	_	0.55
24	60	,	_	PUNCT	_	_	_	_	_	_	0.55
24	61	אַזויווי	_	_	_	_	_	_	_	_	0.55
24	62	דאָס	_	DET	_	_	_	_	_	_	0.55
24	63	איז	_	X	_		_	_	_	_	0.55
24	64	געווען	_	X	_	_	_	_	_	_	0.55
24	65	.	_	PUNCT	_	_	_	_	_	_	0.55
65											0.64
65	67	אַהרון	_	_	_	_	_	_	_	_	0.64
65	68	איזאַק	_	PROPN	_	_	_	_	_	_	0.64
65	69	איז	_	X	_		_	_	_	_	0.64
65	70	געבּוירן	_	_	_	_	_	_	_	_	0.64
65	71	(	_	PUNCT	_	_	_	_	_	_	0.64
65	72	דאָס	_	DET	_	_	_	_	_	_	0.64
65	73	יאָר	_	NOUN	_	_	_	_	_	_	0.64
65	74	1730	_	_	_	_	_	_	_	_	0.64
65	75	)	_	PUNCT	_	_	_	_	_	_	0.64
65	76	און	_	CCONJ	_	_	_	_	_	_	0.64
65	77	געוואַקסן	_	_	_	_	_	_	_	_	0.64
65	78	אין	_	ADP	_	_	_	_	_	_	0.64
65	79	אַ	_	DET	_	_	_	_	_	_	0.64
65	80	שטעטל	_	NOUN	_	_	_	_	_	_	0.64
65	81	טרויענבּריצען	_	_	_	_	_	_	_	_	0.64
65	82	אַכט	_	_	_	_	_	_	_	_	0.64
65	83	מייל	_	_	_	_	_	_	_	_	0.64
65	84	פון	_	ADP	_	_	_	_	_	_	0.64
65	85	בּערלין	_	_	_	_	_	_	_	_	0.64
65	86	בּאַ	_	_	_	_	_	_	_	_	0.64
65	87	אַ	_	DET	_	_	_	_	_	_	0.64
65	88	פאָטער	_	_	_	_	_	_	_	_	0.64
65	89	אַ	_	DET	_	_	_	_	_	_	0.64
65	90	פאַראָרימטן	_	_	_	_	_	_	_	_	0.64
65	91	קרעמער	_	NOUN	_	_	_	_	_	_	0.64
65	92	,	_	PUNCT	_	_	_	_	_	_	0.64
65	93	אַ	_	DET	_	_	_	_	_	_	0.64
65	94	מטופּל	_	ADJ	_	_	_	_	_	_	0.64
65	95	מיט	_	ADP	_	_	_	_	_	_	0.64
65	96	אַ	_	DET	_	_	_	_	_	_	0.64
65	97	גרויס	_	_	_	_	_	_	_	_	0.64
65	98	געזינד	_	NOUN	_	_	_	_	_	_	0.64
65	99	.	_	PUNCT	_	_	_	_	_	_	0.64
99											0.48
99	101	דאָם	_	_	_	_	_	_	_	_	0.48
99	102	איז	_	X	_		_	_	_	_	0.48
99	103	געווען	_	X	_	_	_	_	_	_	0.48
99	104	אַ	_	DET	_	_	_	_	_	_	0.48
99	105	שווערע	_	_	_	_	_	_	_	_	0.48
99	106	צייט	_	_	_	_	_	_	_	_	0.48
99	107	פאַר	_	_	_	_	_	_	_	_	0.48
99	108	אידן	_	_	_	_	_	_	_	_	0.48
99	109	אין	_	ADP	_	_	_	_	_	_	0.48
99	110	דייטשלאַנד	_	_	_	_	_	_	_	_	0.48
99	111	,	_	PUNCT	_	_	_	_	_	_	0.48
99	112	אַ	_	DET	_	_	_	_	_	_	0.48
99	113	צייט	_	_	_	_	_	_	_	_	0.48
99	114	פון	_	ADP	_	_	_	_	_	_	0.48
99	115	אידישער	_	_	_	_	_	_	_	_	0.48
99	116	רעכטלויזיגקייט	_	_	_	_	_	_	_	_	0.48
99	117	און	_	CCONJ	_	_	_	_	_	_	0.48
99	118	„	_	PUNCT	_	_	_	_	_	_	0.48
99	119	שוציודן	_	_	_	_	_	_	_	_	0.48
99	120	“	_	PUNCT	_	_	_	_	_	_	0.48
99	121	,	_	PUNCT	_	_	_	_	_	_	0.48
99	122	אַ	_	DET	_	_	_	_	_	_	0.48
99	123	צייט	_	_	_	_	_	_	_	_	0.48
99	124	,	_	PUNCT	_	_	_	_	_	_	0.48
99	125	ווען	_	_	_	_	_	_	_	_	0.48
99	126	אידן	_	_	_	_	_	_	_	_	0.48
99	127	זיינען	_	_	_	_	_	_	_	_	0.48
99	128	נאָך	_	X	_	_	_	_	_	_	0.48
99	129	געווען	_	X	_	_	_	_	_	_	0.48
99	130	פאַקטיש	_	_	_	_	_	_	_	_	0.48
99	131	אויסגעשלאָסן	_	_	_	_	_	_	_	_	0.48
99	132	פון	_	ADP	_	_	_	_	_	_	0.48
99	133	דער	_	DET	_	_	_	_	_	_	0.48
