unique	NE
א' אויוואראש	LOC
א' אירשא	LOC
א' אפשא	LOC
א' האדנא	LOC
א' וו	LOC
א' וואלקוי	LOC
א' ווישא	LOC
א' ווישווע	LOC
א' ווישע	LOC
א' זשוק	LOC
א' מעדיעש	LOC
א' סאנטוי	LOC
א' סאנטעוו	LOC
"א""מ"	LOC
אָ־דעגעש	LOC
אָ־װערבאַס	LOC
אָ־פּאַליע	LOC
אאוגסבורג	LOC
אָבאָד	LOC
אבאדאי	LOC
אבאדסאלאק	LOC
אָבאַדסאָלאָק	LOC
אבאזיא	LOC
אבאיטארנא	LOC
אַבאַיטאָרנא	LOC
אבאיסינאי	LOC
אבאכאוו	LOC
אַבאָליץ 	LOC
אבאלניק	LOC
אבאנא	LOC
אבאני	LOC
אָבאָני	LOC
אבאניע	LOC
אָבאַניע	LOC
אבאפאלא	LOC
אבאפֿאָלאָ	LOC
אבאפאלווא	LOC
אבאפאָלװאָ	LOC
אבאציע	LOC
אבאציִע	LOC
אבאציע	LOC
אבארא	LOC
אָבאָראַ	LOC
אבארטין	LOC
אבארניק	LOC
אָבאָרניק	LOC
אבאשפאלא	LOC
אָבאָשפֿאָלאָ	LOC
אבויאר קאמיטאט	LOC
אבויסאניטויא	LOC
אָבוכאָװיטש 	LOC
אבוכעוו	LOC
אָבוכעװ 	LOC
אבוקיר	LOC
אבזשיצק	LOC
אָבזשיצק	LOC
אביוריע	LOC
אביוריִע	LOC
אביװא	LOC
אבילונה	LOC
אַבילינע	LOC
אביניון	LOC
אבלוי	LOC
אבליט דסינקא	LOC
אבליט דסינקאה	LOC
אָבעדיװקע 	LOC
אבעל	LOC
אַבעל	LOC
אַבעל	LOC
אַבעל 	LOC
אבעראוילא	LOC
אָבעראיולאַ	LOC
אבעראלטערטהיים	LOC
אָבעראַלטערטהיים	LOC
אבערבאיד	LOC
אבערגאיד	LOC
אָבערגברײט	LOC
אָבערגדאָרף	LOC
אבערדארעף	LOC
אבערדארף	LOC
אָבערדאָרף	LOC
אבערדער	LOC
