אַ ¹ [פּאסעך־אלעף] מ, וו	א  א [אלעף] מ, וו первая буква еврейского алфавита; числовое значение 1; в идише произносится [а] или [о], а также выполняет разделительные י и ו функции рядом с гласными и вводит их в начале слова («немой алеф»); при обозначении гласных звуков выступает в сопровождении для [а], אַ дополнительных значков: для [о] אָ ; א вариант буквы произносится [а]
אַ ² 1. ארטיקל	неопределённый артикль (на русский язык не переводится)
איינ׀ער אַ	один, некий
מיינ׀ער אַ	один из моих
מיינס אַ קינד	один из моих детей
אַ ² 2. אדוו.	примерно, приблизительно, около
אַ צוואַנציק קילאָ	около двадцати килограмм(ов)
אַ יאָר צען	примерно десять лет
אַ ² 3. פּרעפּ.	в, за
זעקס קילאָמעטער אַ שעה [שאָ]	шесть километров в час
005 אומדרייען אַ מינוט	500 оборотов за минуту
אַ ³ אינט.	ах!, а!
אַ, דו יונגאַטש!	ах ты, негодный!
אַ, רעכט אויף אים!	а, поделом ему!
אַ, ניט דערלעבן וועט ער!	а, чтоб ему не дожить!
אָ ¹ [קאָמעץ־אלעף] מ, וו	; א вариант буквы произносится [о]
אָ ² אינט.	о אָ, וויפל האָב איך געוואַרט אויף אָט דעם
טאָג!	о, как долго я ждал этого дня! אָ ³ указательная частица
דער/די/דאָס אָ	(вот) этот/эта/это
די אָ מצ.	(вот) эти
דאָ אָ	(вот) здесь
א''אַ = און אַנדערע	и др. (и другие)
אאַז''וו = און אַזוי ווייטער	и т. д. (и так далее)
אָאַזיס מ ־ן	оазис
א''אַנד = און אַנדערע	и др. (и другие)
אָב ¹ [אָוו] מ	еврейский месяц ав (июль–август)
אָב ² [אָוו] מ ־ות	предок
אבות מצ.	тж. библейские патриархи (Авраам, ¸саак и ¸аков)
אָבאָד מ ־ן	1. обод (колеса) 2. обруч (бочки)
אָבאָדראַנעץ מ ..נצעס (וו ..נקע)	оборвыш, оборванец
אָבאָז מ ־ן	обоз
אַבאַזשור מ ־ן	абажур
אַבאָניר׀ן (אַבאָנירט) (אק.)	1. подписываться на что-л. (становиться подписчиком) 2. подписывать кого-л. (включать в число подписчиков)
אַבאָנירן זיך (אויף)	подписываться на что-л. (становиться подписчиком)
אַבאָנעמענט מ ־ן	абонемент; подписка
אַבאָנענט מ ־ן	абонент; подписчик
אָבאָע וו ־ס	гобой
אַבאָרט מ ־ן	аборт; выкидыш
אָבאָרע וו ־ס	огороженное место; крестьянский двор, обнесённый оградой אַב־בית־דין [אוובעזדן] מ ־ס председатель еврейского религиозного суда
אַבדה [אוויידע] וו (מצ. אַבדות)	потеря, пропажа
אַבדיקיר׀ן (אַבדיקירט) (פון)	отречься от престола
אָבוך מ ־עס, ־ן	обух
געב׀ן* דאט. מיט אַן אָבוך איבערן קאָפּ	дать обухом по голове (тж. перен.)
אָבות־אַבותינו [אָוועס־אוואָסיינו] מצ.	наши предки
אַבי, אַבי 1. א אינוו.	хоть бы
אַבי אַ וואָרט	хоть бы слово
אַבי, אַבי 2. אדוו.	хоть, неважно
אַבי וואָס	хоть что-нибудь; неважно что
אַבי וווּ	хоть где-нибудь; неважно где
אַבי ווי	1) хоть как-нибудь; неважно как 2) кое-как, как-нибудь, небрежно
אַבי ווער	хоть кто-нибудь; неважно кто
ניט אַבי ווער	не кто-нибудь
אַבי, אַבי 3. בינדוו.	лишь бы, только бы
אַבי ער איז געזונט	только бы он был здоров
אַבי געשלאָפן!	лишь бы поспать! אַבידה וו (מצ. אַבידות) זען אַבדה אביון [עוויען] מ ־ים [עוויוינים] (וו ־טע) бедняк, нищий
אביונות [עוויוינעס] וו, ז	бедность, нужда
אַביטוריענט מ ־ן (וו ־ין)	1. (уст. и в некоторых зарубежных странах) выпускник средней школы 2. абитуриент אַבי־יתומים [אווי־יעסוימים] מ отец сирот (±ог) אַבילות זען אַבלות
אָבינו מלכּנו [אָווינו מאלקיינו] מ	«½аш отец и царь» (молитва, являющаяся важной частью богослужения в ´ни покаяния) ימים־נוראָים см. тж. אַ ביסל א, אדוו. זען אין ביסל
אָביעקט מ ־ן	1. объект, предмет 2. дополнение грам.
אָביעקטיוו 1. א, אדוו.	объективный; объективно
