Base,Romanized,Yiddish,Gloss,Definition
,,"אַ ¹ [פּא^סעך־אלעף] מ, וו",,; א вариант буквы
,,אַ ² 1. ארטיקל,,неопределённый артикль
,,איינ׀ער אַ,,"один, некий"
,,מיינ׀ער אַ,,один из моих
,,מיינס אַ קינד,,один из моих детей
,,אַ ² 2. אדוו.,,"примерно, приблизительно,"
,,אַ צוואַנציק קילאָ,,около двадцати
,,אַ יאָר צען,,примерно десять лет
,,אַ ² 3. פּרעפּ.,,"в, за"
,,זעקס קילאָמעטער אַ שעה [שאָ],,шесть
,,005 או^מדרייען אַ מינו^ט,,500 оборотов
,,אַ ³ אינט.,,"ах!, а!"
,,"אַ, דו יונגאַ^טש!",,"ах ты, негодный!"
,,"אַ, רעכט אויף אים!",,"а, поделом ему!"
,,"אַ, ניט דערלעבן וועט ער!",,"а, чтоб ему"
,,"אָ ¹ [קאָ^מעץ־אלעף] מ, וו",,; א вариант буквы
,,אָ ² אינט.,,о
,,טאָג!,,"о, как долго я ждал этого дня!"
,,דער/די/דאָס אָ,,(вот) этот/эта/это
,,די אָ מצ.,,(вот) эти
,,דאָ אָ,,(вот) здесь
,,א''אַ = און אַ^נדערע,,и др. (и другие)
,,אאַז''וו = און אַזוי^ ווייטער,,и т. д.
,,אָאַזיס מ ־ן,,оазис
,,א''אַנד = און אַ^נדערע,,и др. (и другие)
,,אָב ¹ [אָוו] מ,,еврейский месяц ав
,,אָב ² [אָוו] מ ־ות,,предок
,,אבות מצ.,,тж. библейские
,,אָבאָד מ ־ן,,1. обод (колеса)
,,אָבאָדראַנעץ מ ..נצעס (וו ..נקע),,"оборвыш,"
,,אָבאָ^ז מ ־ן,,обоз
,,אַבאַזשו^ר מ ־ן,,абажур
,,אַבאָניר׀ן (אַבאָני^רט) (אק.),,1. подписываться
,,אַבאָנירן זיך (אויף),,подписываться на
,,אַבאָנעמע^נט מ ־ן,,абонемент; подписка
,,אַבאָנע^נט מ ־ן,,абонент; подписчик
,,אָבאָע וו ־ס,,гобой
,,אַבאָ^רט מ ־ן,,аборт; выкидыш
,,אָבאָרע וו ־ס,,огороженное место;
,,אַבדה [אוויידע] וו (מצ. אַבדות),,"потеря,"
,,אַבדיקיר׀ן (אַבדיקי^רט) (פון),,отречься
,,"אָבוך מ ־עס, ־ן",,обух
,,געב׀ן* דאט. מיט אַן אָבוך אי^בערן קאָפּ,,дать
,,אָבות־אַבותינו [אָוועס־אוואָסיי^נו] מצ.,,наши
,,"אַבי^, אַ^בי 1. א אינוו.",,хоть бы
,,אַבי אַ וואָרט,,хоть бы слово
,,"אַבי^, אַ^בי 2. אדוו.",,"хоть, неважно"
,,אַבי וואָס,,хоть что-нибудь; неважно что
,,אַבי וווּ,,хоть где-нибудь; неважно где
,,אַבי ווי,,1) хоть как-нибудь; неважно как
,,אַבי ווער,,хоть кто-нибудь; неважно кто
,,ניט אַבי ווער,,не кто-нибудь
,,"אַבי^, אַ^בי 3. בינדוו.",,"лишь бы, только бы"
,,אַבי ער איז געזו^נט,,только бы он был
,,אַבי געשלאָפן!,,лишь бы поспать!
,,"אביונות [עוויוינעס] וו, ז",,"бедность, нужда"
,,אַביטוריע^נט מ ־ן (וו ־ין),,1. (уст. и
,,אָבינו מלכּנו [אָווינו מאלקיינו] מ,,«½аш
,,אָביע^קט מ ־ן,,"1. объект, предмет"
,,"אָביעקטי^וו 1. א, אדוו.",,объективный;
,,אָביעקטי^וו 2. מ ־ן,,объектив
,,[אבי^רעלעוו]),,жестокосердный человек
,,אָבלאַווע וו ־ס,,облава
,,אַבלה [אוויילע] וו (מצ. אַבלות),,"та, кто"
,,אַבלות [אוויילעס] ז,,траур; соблюдение
,,אָבליגאַטאָריש א,,обязательный
,,אָבליגאַציע וו ־ס,,облигация
,,אבן־בוחן [עוון־בוי^כן] מ ־ס,,"оселок,"
,,אבן־טוב [ע^וונטאָוו] מ (מצ. אבנים־טובות [אוואָנים־טוי^וועס]),,1. драгоценный
,,אבן־נגף [עוון־נע^געף] מ ־ן,,камень
,,אַבסאָלווע^נט מ ־ן (וו ־ין),,(в некоторых
,,"אַבסאָלו^ט א, אדוו.",,абсолютный; абсолютно
,,אַבסורד 1. א,,абсурдный
,,אַבסורדאַ^ל א,,абсурдный
,,אַבסטראַ^קט א,,абстрактный; отвлечённый
,,אַבסטראַקציע וו ־ס,,абстракция
,,אָבסטרוקציע וו ־ס,,обструкция
,,אָבסערוואַטאָריע וו ־ס,,обсерватория
,,אָבסערוויר׀ן (אָבסערווי^רט),,наблюдать
,,"אַבעדריק, אָבעדריק מ ־עס",,ремень
,,אָ^בער (אַ מאָל),,"опять, снова;"
,,אָבער און ווידער,,снова и снова
,,אָבער 2. בינדוו.,,1. (выражает
,,אַרבעט,,"трудная, но интересная работа"
,,ווען,,"я прогулялся бы, да некогда"
,,שלעכט,,"мальчик читает хорошо,"
,,אין דער אמתן [ע^מעסן] אָבער,,фактически
,,אָבער 3. פּארטיקל,,"же, и"
,,כ'האָב אָבער געוווּ^סט!,,"я так и знал!, так"
,,אָ^בערגלויבן מ ־ס,,суеверие
,,"אָ^בערגלייביק, אָ^בערגלייביש א",,суеверный
,,אבר [אייווער] מ ־ים [אייוורים],,"член, орган"
,,(מע^נלעכ׀ער) אבר,,"половой член, пенис"
,,אָבראָ^ט מ ־ן,,"недоуздок, повод"
,,אַברהם אָבינו [אווראָ^ם אָווינו] אג''נ מ,,(наш)
,,אַ''ג = אַזוי^ גערופ_ן,,так называемый
,,אַגאַ^ט מ,,агат
,,אָגאָניק מ ..נקעס,,"1. строй, ряд"
,,אָגאָראָ^ד מ ־ן,,1. огород
,,אַגב [אגעוו] אדוו.,,"между прочим, кстати"
,,אַגב־אורחא [אגעוו־או^רכע] אדוו.,,между
,,"אַגבדיק [א^געוודיק] א, אדוו.",,"случайный,"
,,אַגדה [אגאָדע] וו (מצ. אַגדות),,"1. легенда,"
,,אַגודה [אגודע] וו (מצ. אַגודות),,"общество,"
,,אַגודהניק [אגו^דעניק] מ ־עס,,член
,,אַגיטאַציע וו ־ס,,агитация
,,אַגיטיר׀ן (אַגיטי^רט),,агитировать
,,אַגע^נט מ ־ן (וו ־קע),,агент
,,אַגענטו^ר וו ־ן,,1. агентство
,,אַגע^נץ וו,,агентство
,,אָגער מ ־ס,,жеребец
,,אַגראַ^ר..,,аграрный
,,"אַגרעס מ =, ־ן",,крыжовник
,,"אַגרעסי^וו א, אדוו.",,агрессивный; агрессивно
,,אַגרעסיע [сье] וו ־ס,,агрессия
,,אַדאָ^ אדוו.,,разг. (вот) тут; (вот) там
,,אַ דאַנק פּרעפּ.,,благодаря
,,אַדאָפּטירונג וו ־ען,,усыновление;
,,אַדאָפּטיר׀ן (אַדאָפּטי^רט),,усыновлять;
,,אד''גל = און דאָס/דעס גלייכן,,и т. п.
,,אַדוואָקאַ^ט מ ־ן (וו ־ין),,адвокат
,,אַדווע^רב מ ־ן,,наречие
,,אדום [עדעם] אג''נ ז,,"библ. Íдом (народ,"
,,אָדון [אָדן] (מצ. אַדונים [אדוינים]),,1. господин
,,אַדוני פּרץ [אדויני פּאָרעץ],,барин
,,אָדוק [אָדעק] מ (מצ. אַדוקים),,"тот, кто строго"
,,אַדיוטאַ^נט [дью] מ ־ן,,адъютант
,,אַדיע^ [дье] אינט.,,до свидания
,,אַדיעקטי^וו [дье] מ ־ן,,имя
,,אַדיר מ ־ים,,(большой) богач
,,אַדל מ,,дворянство (сословие)
,,אָ^דליגע וו ־ס,,оттепель
,,אַ^דלמאַן מ (מצ. אַ^דללייט),,дворянин
,,אָדלער מ ־ס,,орёл
,,אַ^דלפרוי וו ־ען,,дворянка
,,אָדם [אָדעם] אג''נ מ,,Адам
,,אַדמה [אדאָמע] וו,,шутл. земля
,,ליג׀ן אין דער אַדמה,,разг. находиться
,,גיי׀ן* אין דער אַדמה,,разг. идти к чёрту
,,האָב׀ן* אין דער אַדמה,,разг. плевать
,,.,,административный;
,,אַדמיניסטראַציע וו ־ס,,администрация
,,אַדמיראַ^ל מ ־ן,,адмирал
,,אָדע וו ־ס,,ода
,,אַ^דעליק א,,знатный (относящийся
,,לעב׀ן ווי גאָט אין אָדעס,,жить припеваючи
,,אָדעקאָלאָ^ן מ ־ען,,одеколон
,,אַדעקוואַ^ט א,,адекватный
,,"אָדער ¹ וו, מ ־ן",,1. жила (кровеносный
,,גי^לדענ׀ע(ר) אָדער,,геморрой
,,טרענ׀ען דאט. די אָדערן,,не оставлять
,,שלאָג׀ן/לאָז׀ן דאט. צו דער אָדער,,пускать
,,אָדער ² בינדוו.,,или
,,אָדער... אָדער,,"или... или...,"
,,אָדער־אָדער!,,или-или
,,אָ^דערדיק א,,жилистый
,,אָ^דערייִד מ ־ן,,уст. шутл. еврей
,,אָ^דערל ז ־עך,,жилка
,,אַדרבא [א^ד(ע)ראבע],,1. вводн. сл.
,,מיר,,Ï не против него.
,,"אַדרבא, זאָל ער זאָגן",,"ну-ка, пусть он"
,,אַדרוי^ף מ ־ן,,задаток
,,"אַדרע^ס, אַדרעס מ ..ע^סן",,адрес
,,אַדרעסאַ^ט מ ־ן (וו ־ין),,"получатель,"
,,אַדרעסאַ^נט מ ־ן (וו ־ין),,"отправитель,"
,,אַדרעסיר׀ן (אַדרעסי^רט),,адресовать
,,אַדרע^סן־בוך ז ..ביכער,,адресная книга
,,אָדר־שני [אָדער־שיי^ני] מ,,второй адар
,,אַהאַ^ אינט.,,ага!
,,אָהאָ^ אינט.,,ого!
,,אַהבה [א^אווע] וו,,любовь (к ±огу)
,,אַהבה־רבה [אאווע־רא^בע] וו,,глубокая
,,אַהבת־נפש [אאוועס־נע^פעש] וו,,душевная
,,אַהולניק מ ־עס,,оптовик
,,אַהולנע 1. א,,1. взятый в целом
,,אַהולנע 2. אדוו.,,1. оптом
,,אַהיי^ם אדוו.,,домой
,,"אַהי^ן אדוו., קאָנוו.",,туда
,,אַהין און אַהע^ר/צורי^ק,,"туда и обратно,"
,,ניט אַהין ניט אַהע^ר,,ни туда ни сюда;
,,אַהין אָדער אַהע^ר!,,туда или сюда!
,,אַהין צו וועגס,,по дороге туда; на прямом
,,אַהין צו (צו),,туда (в ясном
,,אַהי^נ׀טאָ׀ן* (אַהי^נגעטאָן),,девать
,,אַהינטאָן זיך,,деваться
,,אַהינטער אדוו.,,"назад; сзади, позади"
,,"אַהע^ר אדוו., קאָנוו.",,сюда
,,ביז אַהער,,"до сих пор, до этого места"
,,אַהער צו וועגס,,по дороге сюда;
,,אַהער צו (צו),,(к нам) сюда
,,אַהע^ר׀געב׀ן* (אַהע^רגעגעבן),,(по)давать
,,ווי (אַרו^ם) קומט איר אַהערЯ,,как вы здесь
,,או^גערקע וו ־ס,,огурец
,,זוי^ער׀ע אוגערקע,,солёный/
,,אוהב־ישׂראל [אויעוו־ייִסראָ^על] מ (מצ. אוהבי־ [אוי^עווע־]),,"тот, кто любит (других)"
,,אוהל [אוי(ה)על] מ ־ים [אוי(ה)אָלים],,евр.
,,אָוואַ^ אינט.,,(выражает изумление)
,,אָוואַ^ל 1. א,,овальный
,,אָוואַ^ל 2. מ ־ן,,овал
,,אַוואַנגאַ^רד מ ־ן,,авангард
,,אַוואַנטורי^סט מ ־ן (וו ־קע),,авантюрист;
,,אַוואַ^נס מ ־ן,,аванс
,,אַוואַנפּאָ^סט מ ־ן,,аванпост
,,אָוואַציע וו ־ס,,овация
,,אַוואָקאַדאָ מ ־ס,,авокадо
,,אַוודאי [אוואדע] אדוו.,,"конечно, разумеется;"
,,אַוודאי און אַוודאי,,1) без всякого
,,אוּ^וווּלע וו ־ס,,язычок анат.
,,אוּווערטו^ר וו ־ן,,увертюра
,,אַוויאַטאָר מ ..אָ^רן (וו ..אָ^רשע),,авиатор
,,אַוויאַציע וו ־ס,,авиация
,,אַווי^ז מ ־ן,,авизо
