Base,Romanized,Yiddish,Gloss,Definition
,,"א
",,
,,"אַ ¹ [פּא^סעך־אלעף] מ, וו",,; א вариант буквы
,,אַ ² 1. ארטיקל,,неопределённый артикль
,,איינ׀ער אַ,,"один, некий"
,,מיינ׀ער אַ,,один из моих
,,מיינס אַ קינד,,один из моих детей
,,אַ ² 2. אדוו.,,"примерно, приблизительно,"
,,אַ צוואַנציק קילאָ,,около двадцати
,,אַ יאָר צען,,примерно десять лет
,,אַ ² 3. פּרעפּ.,,"в, за"
,,זעקס קילאָמעטער אַ שעה [שאָ],,шесть
,,005 או^מדרייען אַ מינו^ט,,500 оборотов
,,אַ ³ אינט.,,"ах!, а!"
,,"אַ, דו יונגאַ^טש!",,"ах ты, негодный!"
,,"אַ, רעכט אויף אים!",,"а, поделом ему!"
,,"אַ, ניט דערלעבן וועט ער!",,"а, чтоб ему"
,,"אָ ¹ [קאָ^מעץ־אלעף] מ, וו",,; א вариант буквы
,,אָ ² אינט.,,о
,,"אָ, וויפל האָב איך געוואַ^רט אויף אָט דעם
",,"טאָג!	о, как долго я ждал этого дня!"
,,דער/די/דאָס אָ,,(вот) этот/эта/это
,,די אָ מצ.,,(вот) эти
,,דאָ אָ,,(вот) здесь
,,א''אַ = און אַ^נדערע,,и др. (и другие)
,,אאַז''וו = און אַזוי^ ווייטער,,и т. д.
,,אָאַזיס מ ־ן,,оазис
,,א''אַנד = און אַ^נדערע,,и др. (и другие)
,,אָב ¹ [אָוו] מ,,еврейский месяц ав
,,אָב ² [אָוו] מ ־ות,,предок
,,אבות מצ.,,тж. библейские
,,אָבאָד מ ־ן,,1. обод (колеса)
,,אָבאָדראַנעץ מ ..נצעס (וו ..נקע),,"оборвыш,"
,,אָבאָ^ז מ ־ן,,обоз
,,אַבאַזשו^ר מ ־ן,,абажур
,,אַבאָניר׀ן (אַבאָני^רט) (אק.),,1. подписываться
,,אַבאָנירן זיך (אויף),,подписываться на
,,אַבאָנעמע^נט מ ־ן,,абонемент; подписка
,,אַבאָנע^נט מ ־ן,,абонент; подписчик
,,אָבאָע וו ־ס,,гобой
,,אַבאָ^רט מ ־ן,,аборт; выкидыш
,,אָבאָרע וו ־ס,,огороженное место;
,,אַבדה [אוויידע] וו (מצ. אַבדות),,"потеря,"
,,אַבדיקיר׀ן (אַבדיקי^רט) (פון),,отречься
,,"אָבוך מ ־עס, ־ן",,обух
,,געב׀ן* דאט. מיט אַן אָבוך אי^בערן קאָפּ,,дать
,,אָבות־אַבותינו [אָוועס־אוואָסיי^נו] מצ.,,наши
,,"אַבי^, אַ^בי 1. א אינוו.",,хоть бы
,,אַבי אַ וואָרט,,хоть бы слово
,,"אַבי^, אַ^בי 2. אדוו.",,"хоть, неважно"
,,אַבי וואָס,,хоть что-нибудь; неважно что
,,אַבי וווּ,,хоть где-нибудь; неважно где
,,אַבי ווי,,1) хоть как-нибудь; неважно как
,,אַבי ווער,,хоть кто-нибудь; неважно кто
,,ניט אַבי ווער,,не кто-нибудь
,,"אַבי^, אַ^בי 3. בינדוו.",,"лишь бы, только бы"
,,אַבי ער איז געזו^נט,,только бы он был
,,אַבי געשלאָפן!,,лишь бы поспать!
,,"אַבידה וו (מצ. אַבידות) זען אַבדה
",,אביון [עוויען] מ ־ים [עוויוינים] (וו ־טע)
,,"אביונות [עוויוינעס] וו, ז",,"бедность, нужда"
,,אַביטוריע^נט מ ־ן (וו ־ין),,1. (уст. и
,,"אַבילות זען אַבלות
",,אָבינו מלכּנו [אָווינו מאלקיינו] מ	«½аш
,,"אַ ביסל א, אדוו. זען אין ביסל
",,"אָביע^קט מ ־ן	1. объект, предмет"
,,"אָביעקטי^וו 1. א, אדוו.",,объективный;
,,אָביעקטי^וו 2. מ ־ן,,объектив
,,"אַביר־לב [אבירלעוו] מ (מצ. אַבירי־
",,[אבי^רעלעוו])	жестокосердный человек
,,"אַבירות־לב [אבי^רעסלעוו] וו, ז
",,жестокосердие
,,"אָבל [אָוול] מ (מצ. אַבלים [אוויילים], וו ־טע)
",,"тот, кто справляет траур; скорбящий"
,,אָבלאַווע וו ־ס,,облава
,,אַבלה [אוויילע] וו (מצ. אַבלות),,"та, кто"
,,אַבלות [אוויילעס] ז,,траур; соблюдение
,,אָבליגאַטאָריש א,,обязательный
,,אָבליגאַציע וו ־ס,,облигация
,,אבן־בוחן [עוון־בוי^כן] מ ־ס,,"оселок,"
,,"אַבנט [אוונעט] מ ־ים [אוונייטים]
",,евр. погребальный пояс
,,אבן־טוב [ע^וונטאָוו] מ (מצ. אבנים־טובות [אוואָנים־טוי^וועס]),,1. драгоценный
,,אבן־נגף [עוון־נע^געף] מ ־ן,,камень
,,אַבסאָלווע^נט מ ־ן (וו ־ין),,(в некоторых
,,"אַבסאָלו^ט א, אדוו.",,абсолютный; абсолютно
,,אַבסורד 1. א,,абсурдный
,,אַבסורדאַ^ל א,,абсурдный
,,"אַבסטראַהיר׀ן (אַבסטראַהי^רט)
",,абстрагировать
,,אַבסטראַ^קט א,,абстрактный; отвлечённый
,,אַבסטראַקציע וו ־ס,,абстракция
,,אָבסטרוקציע וו ־ס,,обструкция
,,"אָבסערוואַטאָר מ ..אָ^רן (וו ..אָ^רשע)
",,наблюдатель
,,אָבסערוואַטאָריע וו ־ס,,обсерватория
,,אָבסערוויר׀ן (אָבסערווי^רט),,наблюдать
,,"אַבעדריק, אָבעדריק מ ־עס",,ремень
,,"אָבער 1. אדוו.:
",,"אָ^בער (אַ מאָל)	опять, снова;"
,,אָבער און ווידער,,снова и снова
,,אָבער 2. בינדוו.,,1. (выражает
,,"אַ שווערע, אָבער אַן אינטערעסאַנטע
",,"אַרבעט	трудная, но интересная работа"
,,"כ'וואָלט זיך דו^רכגעגאַן, כ'האָב אָבער ניט
",,"ווען	я прогулялся бы, да некогда"
,,"דאָס ייִנגל לייענט גוט, ער שרייבט אָבער
",,"שלעכט	мальчик читает хорошо,"
,,אין דער אמתן [ע^מעסן] אָבער,,фактически
,,אָבער 3. פּארטיקל,,"же, и"
,,כ'האָב אָבער געוווּ^סט!,,"я так и знал!, так"
,,אָ^בערגלויבן מ ־ס,,суеверие
,,"אָ^בערגלייביק, אָ^בערגלייביש א",,суеверный
,,"אָ^בערעם מ זען ברעם ²
",,אָבצאַ^ס מ ־ן זען אָפּצאַס
,,"אָבצווענגע וו ־ס זען אָפּצווענגע
",,"אבר [אייווער] מ ־ים [אייוורים]	член, орган"
,,(מע^נלעכ׀ער) אבר,,"половой член, пенис"
,,אָבראָ^ט מ ־ן,,"недоуздок, повод"
,,אַברהם אָבינו [אווראָ^ם אָווינו] אג''נ מ,,(наш)
,,"אבר־מן־החי [אייווער־מינאכיי^] מ
",,конечность или другая часть тела
,,אַ''ג = אַזוי^ גערופ_ן,,так называемый
,,אַגאַ^ט מ,,агат
,,אָגאָניק מ ..נקעס,,"1. строй, ряд"
,,אָגאָראָ^ד מ ־ן,,1. огород
,,אַגב [אגעוו] אדוו.,,"между прочим, кстати"
,,אַגב־אורחא [אגעוו־או^רכע] אדוו.,,между
,,"אַגבדיק [א^געוודיק] א, אדוו.",,"случайный,"
,,אַגדה [אגאָדע] וו (מצ. אַגדות),,"1. легенда,"
,,"אַגדתּא [אגא^דעטע] וו (מצ. אַגדתּות) זען אַגדה
",,"אַגודה [אגודע] וו (מצ. אַגודות)	общество,"
,,אַגודהניק [אגו^דעניק] מ ־עס,,член
,,אַגיטאַציע וו ־ס,,агитация
,,אַגיטיר׀ן (אַגיטי^רט),,агитировать
,,"אָגיל־ואשׂמח [אָגל־וועע^סמאך] א פּרעד., אדוו.
",,"1. весёлый, радостный, довольный;"
,,אַגע^נט מ ־ן (וו ־קע),,агент
,,אַגענטו^ר וו ־ן,,1. агентство
,,אַגע^נץ וו,,агентство
,,אָגער מ ־ס,,жеребец
,,"אָגראָ^ד מ ־ן זען אָגאָראָד
",,אַגראַ^ר..	аграрный
,,"אַגרעס מ =, ־ן",,крыжовник
,,"אַגרעסי^וו א, אדוו.",,агрессивный; агрессивно
,,אַגרעסיע [сье] וו ־ס,,агрессия
,,אַדאָ^ אדוו.,,разг. (вот) тут; (вот) там
,,אַ דאַנק פּרעפּ.,,благодаря
,,אַדאָפּטירונג וו ־ען,,усыновление;
,,אַדאָפּטיר׀ן (אַדאָפּטי^רט),,усыновлять;
,,אד''גל = און דאָס/דעס גלייכן,,и т. п.
,,אַדוואָקאַ^ט מ ־ן (וו ־ין),,адвокат
,,אַדווע^רב מ ־ן,,наречие
,,אדום [עדעם] אג''נ ז,,"библ. Íдом (народ,"
,,אָדון [אָדן] (מצ. אַדונים [אדוינים]),,1. господин
,,"אָדון־בפקדך [אָדן־בעפאָ^קדעכאָ] מ
",,"разг., обыкн. ирон. большой начальник"
,,"אָדון־הגדול [אָדן־האגאָ^דל] מ
",,"сановник, вельможа"
,,"אַדוני [אדויני] העפל. + מ:
",,אַדוני מלך [אדויני מיילעך] ваше
,,אַדוני פּרץ [אדויני פּאָרעץ],,барин
,,אָדוק [אָדעק] מ (מצ. אַדוקים),,"тот, кто строго"
